texto,sentimiento
"Los futuros de Wall Street añaden otro 0,5% a su subidaLas subidas del 2,4% al 3,4% que logró al cierre de ayer Wall Street tienen continuidad en la preapertura.",positivo
"El PMI manufacturero de España se contrajo en marzo por la guerra de IránLa actividad de las empresas del sector manufacturero de España registró una contracción en marzo ante el impacto del conflicto en Oriente Próximo, según refleja el índice sectorial PMI, que bajó a 48,7 puntos desde los 50 de febrero, su peor lectura desde abril del año pasado.",negativo
"En el mes de marzo, en un contexto de notable incertidumbre geopolítica, interrupción en las cadenas de suministro y rápido aumento de los precios de la energía y de los insumos, los fabricantes españoles informaron de caídas aceleradas de la producción y de los nuevos pedidos, mientras que el empleo disminuyó notablemente y se registró un fuerte deterioro de la confianza en el sector manufacturero.",negativo
La economía global ha resultado ser más resiliente de lo que temíamosLos aranceles de Trump no provocaron las represalias que muchos esperaban.,positivo
El Ibex vuelve a rozar el 3% de subidaEl Ibex afianza de nuevo sus subidas al borde del 3%.,positivo
"El precio del petróleo baja de 100 dólaresLa cotización del barril de brent se abarata drásticamente al situarse en 99 dólares, por debajo de la barrera de los 100 dólares predominante desde las primeras jornadas de la guerra en Irán.",negativo
Muere una persona por metralla de un dron interceptado en una granja de Emiratos ÁrabesLas autoridades del emirato de Fujairah anunciaron la muerte de una persona de nacionalidad bangladesí tras la caída de metralla procedente de un dron que fue interceptado este miércoles por las defensas aéreas de Emiratos Árabes Unidos (EAU).,neutral
Por qué el petróleo baja hoy de golpe un 16%La mayor parte del severo descuento que refleja hoy la cotización del petróleo no es fruto del optimismo de los mercados sobre un próximo fin de la guerra.,negativo
"España esquiva la ruta de fertilizantes por el estrecho de Ormuz pero no el alza de precioEspaña ha podido esquivar la ruta de los fertilizantes por el estrecho de Ormuz, por donde pasa un tercio del comercio mundial de esos productos, pero no está libre del impacto de la guerra en Irán, que puede elevar sus precios hasta un 20 % en la primera mitad de 2026.",negativo
"Más moderadao ha sido la subida, del 1,5%, del índice CSI 300 de China.",positivo
"EEUU se retirará de Irán ""con o sin acuerdo"" y esta noche dará un ""importante"" anuncioEl presidente estadounidense, Donald Trump, ha afirmado que podría retirarse de Irán en dos o tres semanas ""con o sin acuerdo"".",neutral
"Según el líder del Ejecutivo, Estados Unidos no tendrá que quedarse en Irán ""mucho más tiempo"", aunque ha aclarado que le ""queda trabajo por hacer para acabar con su capacidad ofensiva, sea cual sea la que les quede"".",neutral
Los valores del Ibex con más potencial tras un mes de guerra en IránEl conflicto en Oriente Medio ha lastrado las principales Bolsas del mundo y el Ibex 35 no ha sido una excepción.,negativo
"El selectivo español ha saldado marzo con una caída del 7,14%.",negativo
"Ante la volatilidad del mercado derivada del conflicto en Oriente Medio y del cierre del estrecho de Ormuz, la Comisión Europea ""está instando a los Estados miembros a preparar de forma oportuna y coordinada medidas para asegurar el suministro de petróleo y de productos petrolíferos refinados en la UE"", añadió el Ejecutivo comunitario.",negativo
"Sin embargo, ante las expectativas de que la guerra de Estados Unidos e Israel contra Irán no acabe pronto, Jørgensen llamó a las capitales a ""considerar la promoción de medidas de ahorro de demanda, con especial atención al sector del transporte"".",neutral
"El precio del petróleo repunta a 116 dólaresLa cotización del barril de Brent se aprecia ahora un 3%, hasta alcanzar los 116 dólares, después de un inicio de jornada con un comportamiento prácticamente plano, en los 113 dólares.",negativo
"Los gigantes de la alimentación empezaban por fin a bajar los precios, y entonces estalló la guerraEl fantasma de otro repunte de la inflación obliga a los grupos de bienes de consumo en apuros a tomar decisiones difíciles.",negativo
"El Ibex limita al 7% su caída en el mes de marzoEl primer mes de guerra en Irán se completa hoy con un balance claramente bajista en el Ibex, del -7%.",negativo
La subida del 1% de hoy permite recuperar los 17.000 puntos y reducir ligeramente los descensos en el mes.,positivo
"El oro recupera los 4.500 dólares la onzaLa cotización del metal precioso aprovecha la mayor tregua en el dólar y en los intereses de la deuda para recuperar un 0,83% y alcanzar así los 4.547 dólares la onza.",positivo
"El apoyo de los israelíes judíos a la guerra contra Irán cae del 93% a un 78%Más de tres cuartas partes de los israelíes judíos (el 78%) sigue apoyando la guerra contra Irán, frente al 93% que lo hacía en la primera semana del conflicto, de acuerdo con la última encuesta del Instituto de la Democracia de Israel (IDI).",neutral
"El Ibex se estabiliza en 17.100 puntosEl Ibex logra ahora un 0,80% de revalorización, la mayor subida de las registradas en el día de hoy por los principales índices bursátiles europeos, y se afianza en el entorno de los 17.100 puntos.",positivo
"La inflación de la eurozona sube al 2,5%, menos de lo esperadoEl dato adelantado de inflación en marzo de la eurozona se ha situado, en tasa interanual, en el 2,5%, una décima por debajo del 2,6% esperado por el consenso del mercado.",negativo
"La ONU calcula que la guerra en Irán puede costar a los países árabes hasta un 6% del PIBEl Programa de Naciones Unidas para el Desarrollo (PNUD) calcula que la guerra en Oriente Medio podría restar a las economías de los países árabes entre un 3,7% y 6% de su producto interior bruto (PIB) conjunto, lo que representa una pérdida de hasta 194.000 millones de dólares (unos 170.000 millones de euros).",negativo
"En su informe preliminar publicado este martes titulado ""Escalada militar en Oriente Medio: implicaciones económicas y sociales para la región de los Estados árabes"", la oficina regional de la agencia de la ONU calcula que el desempleo aumentará hasta 4 puntos porcentuales, es decir, una pérdida de 3,6 millones de empleos, más que el total de puestos de trabajo creados en la región en 2025.",negativo
El petróleo registra su mayor subida mensual de la historiaNunca en toda la serie histórica el precio del petróleo se había disparado tanto en un solo mes.,negativo
La guerra en Irán ha provocado que marzo finalice con la mayor subida mensual en el barril de Brent.,negativo
"Industria y alimentos, en jaque por el alza de plásticos, aluminio o fertilizantesOrganismos internacionales avisan de que la guerra en Irán golpea ya materias primas críticas para la industria, al tiempo que pone en riesgo la seguridad alimentaria por su impacto sobre los fertilizantes.",negativo
"Los futuros del Ibex cotizan un 0,38% al alzaLa Bolsa española apunta a una apertura ligeramente positiva, en forma de avances del 0,38%.",positivo
"El jefe de la diplomacia estadounidense opinó que una de las razones por las que la Alianza Atlántica es ""beneficiosa"" para Estados Unidos es que le proporciona ""bases para contingencias"" como estacionar tropas, aviones y armas en Europa.",neutral
"""Pero si la OTAN se trata solo de que nosotros defendamos a Europa mientras ellos nos niegan derechos de bases cuando los necesitamos, entonces no es un muy buen acuerdo.",neutral
"La Casa Blanca reitera que la subida del petróleo por la guerra de Irán es ""a corto plazo""La Casa Blanca ha insistido este lunes en que las subidas del crudo derivadas de los ataques estadounidense e israelíes contra Irán suponen una ""fluctuación a corto plazo"" en los precios de los carburantes y en que el Gobierno de Donald Trump está abordando la situación ""día a día""""Entendemos la situación.",neutral
"Leavitt ha subrayado que desde entonces el Gobierno estadounidense ha anunciado varias y ""contundentes medidas"" para ""brindar estabilidad al mercado energético mundial"", refiriéndose a la liberación de reservas estratégicas, a la suspensión temporal de la Ley Jones, que exige que el transporte de mercancías entre puertos estadounidenses se haga en embarcaciones nacionales, o al levantamiento de sanciones al crudo iraní o ruso.",neutral
"""El mensaje general, tal como hemos reiterado en repetidas ocasiones, es que se trata de acciones (en referencia a los ataques contra Irán) y fluctuaciones de precios a corto plazo que buscan el beneficio, a largo plazo, de poner fin a la amenaza que Irán representa para EE.UU., para nuestras tropas y para nuestros aliados en la región"", ha destacado la portavoz.",neutral
"Powell no ve necesario por ahora subir los tipos de interés por la guerra en Irán""Las crisis energéticas han tendido a aparecer y desaparecer con bastante rapidez, y, como es bien sabido, la política monetaria opera con plazos largos y variables"", apunta.",neutral
"La Marina británica alerta de la caída de dos proyectiles cerca de un buque en la costa saudíLa entidad de la Marina británica Operaciones Marítimas Comerciales (UKMTO, en inglés) ha asegurado que dos proyectiles de origen desconocido impactaron cerca de un buque portacontenedores al noreste de la ciudad portuaria de Ras Tanura, en el este de Arabia Saudí.",neutral
"Así lo consideró Margarita Robles en su intervención en un acto junto al ministro de Industria y Turismo, Jordi Hereu, y la ministra de Ciencia, Innovación y Universidades, Diana Morant, en el acto de presentación del programa IN+DEF, el nuevo ecosistema de formación e innovación abierta para la industria de defensa.",neutral
"El petróleo cotiza en los 115 dólares tras el anuncio de TrumpTrump dice que hay ""conversaciones serias"" con un nuevo régimen iraní, pero mantiene sus amenazasEl presidente de Estados Unidos, Donald Trump, ha insistido en que su país ""está en conversaciones serias con un régimen nuevo y más razonable"" en Irán, pero ha reiterado sus amenazas contra las instalaciones eléctricas y petrolíferas de ese país ""si no se llega pronto a un acuerdo"".",neutral
"""Pero, si por cualquier motivo no se llega pronto a un acuerdo --al que probablemente llegaremos-- y si el estrecho de Ormuz no se 'abre al tráfico' de inmediato, concluiremos nuestra encantadora 'estancia'",neutral
"El IPC de Alemania se dispara al 2,7%, en línea con lo esperadoEl dato preliminar de inflación de Alemania del mes de marzo, el primero que recoge los efectos de la guerra en Irán, se ha disparado desde el 1,9% del mes anteriro hasta el 2,7%, justo en línea con lo previsto por los analistas.",negativo
"Trump insiste que hay ""conversaciones serias"" con un nuevo régimen iraní, al que amenazaEl presidente de Estados Unidos, Donald Trump, insistió este lunes en que su país ""está en conversaciones serias con un régimen nuevo y más razonable"" en Irán, pero reiteró sus amenazas contra las instalaciones eléctricas y petrolíferas de ese país ""si no se llega pronto a un acuerdo"".",neutral
"El Gobierno presenta un plan triministerial para potenciar la innovación de las pymes de DefensaEl programa IN+DEF involucrará a los ministerios de Industria, Defensa y Ciencia para poner en marcha proyectos de desarrollo de sensores satelitales o enjambres de drones autónomos en España.",positivo
"El precio del petróleo se estabiliza en 115 dólaresLa cotización del barril de Brent se mantiene en la jornada de hoy con subidas del 2,5%, de forma que su precio se estabiliza en 115,4 dólares.",neutral
"La tensión en Oriente Medio puede subir hasta un 10% los costes de construcción en EspañaLa escalada del conflicto en Oriente Medio podría elevar hasta un 10% los costes de construcción en España, reducir las compraventas de vivienda y la financiación y añadir más presión al mercado del alquiler, según un informe elaborado por la firma de valoración y consultoría Gloval.",negativo
"En un escenario de tensión persistente, los costes de construcción podrían aumentar entre un 6 % y un 10 %, mientras que el principal riesgo para el sector no sería, en principio, una caída abrupta del valor residencial, sino una fase de menor liquidez, menor capacidad de compra y mayor presión sobre el alquiler, apunta la firma en un comunicado.",negativo
"El euro baja de 1,15 dólaresLa cotización del euro se inclina ligeramente a la baja, de forma que la divisa comunitaria retrocede un 0,13% hasta los 1,1492 dólares.",negativo
Los fondos de deuda en dificultades ven en la crisis del crédito privado la mayor oportunidad desde 2008Los inversores especializados en hacerse con activos en dificultades a precios de ganga creen que la crisis del crédito privado representa su mejor oportunidad desde la crisis financiera de 2008.,positivo
El Ibex se apoya en los valores energéticos para acercarse a los 17.000El Ibex afianza su rebote.,positivo
"El precio del petróleo sube un 3% hasta los 116 dólaresLa cotización del barril de Brent inicia la semana con una subida adicional del 3%, hasta alcanzar los 116 dólares, a un paso ya de los efímeros máximos de 119 dólares alcanzados hace tres semanas.",positivo
"El vicepresidente del Parlamento, Alí Nikzad, ha anunciado el registro del proyecto ""Ley de acción estratégica para la paz y el desarrollo sostenible de la región del golfo Pérsico"", que será discutido en el hemiciclo con carácter de urgencia, informó la agencia ISNA.",neutral
"Unos 135 millones de viajes están en riesgo este año por el conflicto en Oriente MedioEl Consejo Mundial de Viajes y Turismo (WTTC) estima que 135 millones de viajes a nivel global están en riesgo en 2026 por el conflicto en Oriente Medio, incluidos 116 millones fuera de la región, debido a la reducción de la capacidad de vuelos y a las restricciones del espacio aéreo.",negativo
"El Ministerio de Defensa de Israel ha firmado un acuerdo con la empresa israelí Elbit Systems para adquirir decenas de miles de municiones terrestres por un total de 48 millones de dólares, en un contexto de ampliación de su incursión terrestre en el sur el Líbano en medio de la guerra contra Irán.",positivo
"Al inicio del segundo mes de la guerra, la ONU informó de la muerte de un casco azul en Líbano y la expansión continúa, e Israel dijo haber interceptado un ataque desde Yemen.",negativo
"Las presiones se extienden a los intereses de la deuda, y a la Bolsa.",neutral
"El desplome sufrido en Asia da paso a una mayor resistencia en Europa, y en el Ibex.",neutral
"Francia dará ayudas de 20 céntimos por litro de carburante a transportistas y pescadoresEl Gobierno francés ha anunciado una batería de medidas, limitadas al mes de abril, para apoyar a los sectores más afectados por el alza del precio de los hidrocarburos por el conflicto de Oriente Medio, como ayudas de 20 céntimos de euro por litro de carburante para pescadores y transportistas en dificultades.",neutral
"El petróleo se mantiene por encima de los 110 dólaresWall Street enfila su quinta semana consecutiva en negativoEl Nasdaq, que ayer entró en zona de corrección, vuelve a ser el indicador más castigado por los inversores.",negativo
"CaixaBank alerta de la ""alta incertidumbre"", pero mantiene los objetivos del plan estratégicoTomás Muniesa, presidente de CaixaBank, ha afirmado en la junta de accionistas que el impacto de la situación en Oriente Medio rebajará las perspectivas de crecimiento la economía española y asegura que la confrontación geopolítica entre potencias es la mayor amenaza actual, junto con la elevada incertidumbre.",negativo
"El interés exigido a la deuda europea supera el 3,10%La rentabilidad exigida al bund alemán, la deuda europea de referencia, superó ayer la barrera del 3%, y hoy, en su ascenso, escala al 3,11%.",negativo
Las presiones inflacionistas derivadas del petróleo impulsan las expectativas de próximas subidas de tipos del BCE.,negativo
Los fututos de Wall Street borran sus subidasLa preapertura de la Bolsa de Nueva York borra el rebote con el que comenzó la jornada.,negativo
El petróleo sube ahora un 2% y alcanza los 110 dólaresLa tregua inicial en el precio del petróleo da paso a una subida del 2%.,negativo
"Análisis Financial Times | Ecos de la historia: qué significa la crisis del petróleo para su dineroMientras los bancos centrales buscan el equilibrio entre controlar la inflación y evitar el estancamiento económico, los inversores se enfrentan a decisiones difíciles.",neutral
"El Ibex se aleja de los 17.000 puntosLa prórroga de diez días anunciada por Trump en el ultimátum lanzado a Irán no logra frenar la subida del petróleo, ni la escalada en los intereses de la deuda.",negativo
"La inflación se eleva al 3,3% en marzo por el impacto de la guerra en IránEl Índice de Precios del Consumo (IPC) subió hasta el 3,3% en marzo, un punto más que el mes anterior (2,3%), según el dato adelantado hoy por el Instituto Nacional de Estadística.",negativo
"El ataque israelí del viernes contra objetivos ""en el corazón de Teherán"" se produjo después de que el país afirmara que ""intensificará"" sus operaciones contra instalaciones de producción de armas iraníes.",neutral
Santander anticipa una mejora del beneficio en 2026 pese a la crisis en IránEl banco somete este viernes a aprobación de su junta la ampliación de capital de en torno al 2% para articular la compra de Webster.,positivo
"Los futuros el Ibex cotizan un 0,24% al alzaLa Bolsa española apunta a una tímida apertura alcista.",positivo
"Esta minitregua abre la puerta al rebote en índices como el Ibex, que vuelve a buscar los 17.000 puntos.",positivo
"Israel bombardea en Teherán espacios para la producción de misiles balísticosLa aviación israelí bombardeó durante esta noche posiciones para la producción de misiles balísticos en Teherán, así como lanzaderas y almacenes en el oeste de Irán.",neutral
"El Nasdaq sufre su mayor caída desde enero por Meta, que se deja un 8%, Nvidia y AlphabetEl dueño de Facebook ha perdido dos casos judiciales relacionados con la seguridad infantil en redes sociales.",negativo
"El analista de XTB Yago Serrano Maristany ha afirmado que ""a pesar de los distintos intentos de mediación impulsados por Estados Unidos, no se vislumbra una resolución cercana del conflicto, lo que mantiene la presión sobre los precios de la energía y contribuye a prolongar la incertidumbre en los mercados financieros"".",negativo
"Trump asegura que Irán ""está suplicando llegar a un acuerdo""El presidente de Estados Unidos, Donald Trump, ha asegurado que Irán ""está suplicando llegar a un acuerdo"" y que él mismo quiere ""llegar a un acuerdo"", a pocas horas de que expire el aplazamiento que anunció de los ataques a infraestructuras energéticas iraníes y en plenas negociaciones para un acuerdo de paz.",neutral
"La guerra en Irán eleva un 5% el coste de producir fruta y verdura lista para el consumoLa Asociación Española de Frutas y Hortalizas Lavadas Listas para su Empleo (Afhorfresh), integrada en Fepex, ha advertido de que la guerra en Oriente Medio ha incrementado sus costes de producción un 5%.",negativo
"Los países árabes del Golfo Pérsico exigen ser parte de cualquier acuerdo con IránLos países árabes del golfo Pérsico, ricos en petróleo y gas, han exigido participar en ""cualquier negociación o acuerdo"" para el fin de la guerra entre Estados Unidos, Israel e Irán, en tanto rechazaron cualquier ""plan o iniciativa para el cambio del mapa de Oriente Medio"" tras la guerra.",neutral
"Así se expresó el secretario general de la alianza compuesta por los seis ricos países del Consejo de Cooperación del Golfo (CCG), Jasem al Budaiwi, en una rueda de prensa en Riad, en la que instó también a la comunidad internacional a esforzarse para poner fin a los ataques iraníes contra sus vecinos árabes y levantar el bloqueo por la Guardia Revolucionaria iraní del estrecho de Ormuz.",neutral
El Ibex ve peligrar los 17.000 puntos con el petróleoEl mercado cuestiona las expectativas de un acuerdo que permita poner fin a la guerra.,negativo
"El petróleo acelera su subida al 5%La cotización del barril de Brent amplía al 5% sus subidas, hasta alcanzar los 107 dólares, casi diez dólares por encima de los niveles que registró al inicio de la sesión de ayer.",negativo
El interés de la deuda europea supera de nuevo el 3%La tregua ha sido efímera.,negativo
"La rentabilidad exigida al bund alemán, la deuda europea de referencia, asciende al 3,02%.",neutral
"Tras el repliegue registrado ayer, el petróleo y los mensajes del BCE impulsan su interés por encima de la barrera del 3%.",neutral
El inesperado barrido de los ETF de bitcoin a los de oro durante la guerraLas turbulencias por la guerra en Irán no solo han reflejado mayor firmeza del bitcoin frente al oro en términos de precio.,neutral
El análisis de los flujos en los ETF de los dos activos revelan resultados opuestos.,neutral
"La OCDE anticipa un frenazo en seco del crecimiento de la eurozona por los precios energéticosLa Organización mantiene en el 2,9% su previsión de crecimiento mundial en 2026, pero recorta drásticamente sus perspectivas para la zona euro, que reduce al 0,8%, cuatro décimas menos de lo que preveía en diciembre.",negativo
"También rebaja en una décima su pronóstico para España, al 2,1%, aunque seguirá en el pelotón de cabeza del crecimiento global.",neutral
"Las expectativas de ingresos de los alemanes han caído 12,6 puntos respecto a principios de año, por lo ahora que se sitúan en ""terreno pesimista"", según la GfK, en los -6,3 puntos.",negativo
"La propensión al consumo se mantuvo en -10,9 puntos, mientras que la intención de ahorro en marzo llegó a los 18,5 puntos, un nivel ""muy alto"", dado que ""los consumidores prevén que repunte la inflación y se frene la recuperación económica.",negativo
"El Ibex abre con caídas del 0,53% hasta los 17.079 puntosLa Bolsa española inicia la jornada con una corrección del 0,53%, hacia niveles más próximos a los 17.000 puntos recuperados en el día de ayer.",negativo
Cortaría así una racha de tres jornadas consecutivas al alza.,neutral
"""Buscamos un proyecto de ley que reconozca legalmente la soberanía, el dominio y la supervisión de Irán sobre el estrecho de Ormuz, y que además genere una fuente de ingresos para el país mediante el cobro de un peaje"", ha señalado el presidente de la comisión de asuntos civiles del Parlamento, Mohamad Reza Rezaei Kochi, según ha informado la agencia Tasnim y recoge Efe.",neutral
El Ibex se enfría de nuevo con el petróleoEl mercado cuestiona las expectativas de un acuerdo que permita poner fin a la guerra.,negativo
"El Banco Central Europeo (BCE) fijó hoy el cambio de referencia del euro en 1,1592 dólares.",neutral
"En el mercado de petróleo, el barril de Brent, de referencia en Europa, mantiene la caída del 4% de esta mañana y ve peligrar los 100 dólares.",negativo
"El CEO de BlackRock ve una ""recesión global"" si el petróleo llega a 150 dólares por la guerra de IránLarry Fink, consejero delegado de BlackRock, ha advertido del riesgo de una ""recesión global"" si el actual conflicto de Oriente Próximo da como resultado un precio del barril de petróleo de 150 dólares.",negativo
"Si Irán siguiera siendo una amenaza, ""podríamos tener años con precios por encima de los 100 dólares, incluso cerca de los 150 dólares, lo cual tiene profundas implicaciones para la economía"", mientras que si Irán fuera un país aceptado por la comunidad internacional y su petróleo regresara al mercado, unido al crecimiento de la producción petrolera venezolana, los precios podrían ser más bajos que antes de la guerra.",negativo
"Lagarde acerca las subidas de tipos: ""La indecisión no nos va a paralizar""La presidenta del BCE recalca que ""nuestro compromiso de lograr una inflación del 2% a medio plazo es incondicional"", aunque advierte de que ""no actuaremos hasta que tengamos suficiente información sobre la magnitud y la persistencia del choque y su propagación"".",neutral
"El petróleo modera su caída y se sitúa en 99,7 dólaresEl barril de Brent enfría su caída al 4,5%, lo que sitúa su cotización al filo de nuevo de la barrera de los 100 dólares, en 99,7 dólares.",neutral
Las Bolsas europeas se acercan al 2% de subidaLos principales índices europeos apuntalan sus subidas con el paso de la sesión.,positivo
"De acuerdo con una nota del Departamento de Relaciones Públicas del Ejército iraní, recogido por la agencia Fars, se han disparado misiles de crucero contra el portaaviones estadounidense ""con el buque como objetivo"".",neutral
"La confianza empresarial baja en marzo en Alemania debido a la guerra en IránLa confianza empresarial bajó en marzo en Alemania debido a que la guerra de Irán ha aplazado cualquier esperanza de recuperación de la economía , según revela hoy el Instituto de Investigación Económica alemán (Ifo) que deja el índice de confianza empresarial de marzo en 86,4 puntos desde los 88,4 puntos de febrero.",negativo
Los futuros de Wall Street rozan el 1% de subidaLa caída por debajo de 100 dólares en el barril de Brent despeja el camino de las subidas en Wall Street.,positivo
"El Pentágono ordenó este martes el despliegue de al menos 2.000 paracaidistas en Oriente Medio para ofrecer ""nuevas posibilidades de acción"" a Trump, según The Washington Post.",neutral
El interés exigido al bund alemán baja del 3%El descenso del petróleo se traslada a la rentabilidad exigida en la deuda europea de referencia.,positivo
"El precio del petróleo baja un 5% hasta los 98 dólaresLa cotización del barril de Brent afianza sus caídas en el entorno del 5%, con los inversores atentos al plan de paz propuesto por EEUU a Irán.",positivo
Israel dice haber atacado en Teherán dos instalaciones de producción de misiles navalesEl Ejército israelí ha bombardeado dos instalaciones de producción de misiles de crucero navales de largo alcance en Teherán.,neutral
"Irán niega un acuerdo con Trump y anuncia una nueva ola de ataquesEl Ejército de Irán ha negado hoy que haya negociaciones con Washington, en respuesta a las declaraciones del presidente de Estados Unidos, Donald Trump.",neutral
"De acuerdo con el diario, la iniciativa forma parte de los esfuerzos de la Administración del presidente, Donald Trump, por abrir una vía de salida al conflicto, aunque por el momento no está claro hasta qué punto Teherán ha considerado el documento ni si cuenta con el respaldo de Israel.",neutral
"Durante la ceremonia para que el nuevo secretario de Seguridad Nacional, Markwayne Mullin, jurase el cargo, Trump se ha mostrado convencido, en declaraciones a los medios, de que Irán va ""alcanzar un acuerdo"" en el marco de las conversaciones que el mandatario asegura que están manteniendo Washington y Teherán porque en la república islámica se ha producido ""un cambio en el régimen"".",neutral
"El magnate republicano ha añadido a continuación que, pese a no confiar en ellos, está convencido de que van a llegar a un acuerdo y puso como ejemplo de ello el mencionado ""regalo"".",neutral
"El secretario del Consejo de Seguridad de Rusia, Serguéi Shoigú, ha asegurado este martes que actualmente no se vislumbran perspectivas para el fin del conflicto armado en Oriente Medio.",negativo
"""Actualmente, no se vislumbran perspectivas de que se ponga fin al conflicto armado a gran escala en la región.",negativo
"El precio del gas natural cae casi un 5% y cotiza por debajo de los 54 eurosEl precio del gas natural para entrega a un mes en el mercado TTF de Países Bajos, el de referencia en Europa, ha cerrado este martes con una caída cercana al 5%, por debajo de los 54 euros por megavatio hora (MWh).",negativo
"Aunque las declaraciones de Trump propiciaron en la víspera la caída del precio de la energía, las dudas acerca de una posible desescalada del conflicto en Oriente Medio han llevado al petróleo a subir hoy de nuevo.",neutral
"El Dow Jones y el S&P 500 giran al alzaEl Dow Jones avanza un 0,3% con Walmart y Nike y Caterpillar como mejores valores, mientras que el S&P 500 repunta un 0,1%.",positivo
